date,quantity,payment_method,products_id,customer_id,sales_person_id
12/10/2022,3,instapayment,192,396,6
8/9/2003,3,jcb,85,290,8
5/22/2014,1,jcb,82,671,19
5/7/2008,3,china-unionpay,171,248,3
7/9/2018,5,instapayment,189,688,3
5/10/2024,1,mastercard,31,800,16
12/13/2012,5,jcb,23,669,11
12/4/2008,5,diners-club-enroute,66,86,11
7/6/2016,2,switch,174,190,12
5/10/2017,4,jcb,57,876,5
2/19/2009,3,diners-club-international,169,555,6
8/1/2010,4,switch,18,177,4
4/13/2012,5,jcb,90,388,7
5/28/2024,1,jcb,129,425,8
7/7/2018,2,americanexpress,31,850,19
10/30/2014,1,jcb,87,486,15
6/6/2012,4,jcb,8,232,5
1/15/2012,1,switch,86,559,1
10/10/2008,5,visa-electron,156,992,9
3/29/2007,1,mastercard,164,904,12
1/1/2017,4,americanexpress,170,75,20
3/28/2002,2,jcb,103,212,13
1/8/2023,4,maestro,8,84,17
8/25/2021,1,visa,158,163,16
12/8/2008,5,jcb,46,68,4
11/11/2001,4,jcb,105,666,16
9/4/2008,5,china-unionpay,111,488,16
6/9/2010,5,jcb,165,805,14
11/29/2009,3,jcb,199,307,2
9/29/2021,3,jcb,104,511,1
4/21/2008,3,jcb,40,541,3
7/29/2006,4,jcb,175,758,2
1/17/2018,1,jcb,101,362,15
5/10/2001,4,mastercard,134,193,18
2/6/2019,5,diners-club-carte-blanche,84,658,20
2/16/2020,1,jcb,74,419,4
6/26/2007,4,switch,191,363,15
4/30/2019,1,americanexpress,60,241,15
4/15/2019,3,mastercard,70,652,11
8/30/2025,4,maestro,90,762,15
11/5/2023,1,jcb,42,92,8
12/4/2022,4,mastercard,182,644,1
8/28/2013,2,maestro,165,49,19
3/26/2016,5,diners-club-enroute,83,804,6
10/7/2013,2,solo,26,292,14
9/13/2012,4,jcb,142,252,14
12/10/2020,3,visa-electron,163,991,16
8/4/2023,1,jcb,22,672,2
9/10/2013,2,jcb,190,316,14
8/15/2006,3,mastercard,57,540,9
2/1/2004,4,jcb,25,345,20
4/14/2026,5,china-unionpay,186,617,2
1/29/2014,3,laser,127,398,12
1/2/2014,2,jcb,165,182,15
9/30/2021,1,jcb,90,516,15
12/17/2016,4,switch,19,786,15
12/20/2009,2,switch,130,496,16
11/2/2020,3,switch,62,198,5
1/1/2006,5,instapayment,178,927,1
11/9/2004,1,jcb,114,659,15
10/6/2017,2,diners-club-enroute,45,735,16
1/23/2002,4,americanexpress,99,831,19
7/8/2023,4,jcb,67,304,17
9/4/2018,2,maestro,105,432,3
5/30/2007,1,diners-club-carte-blanche,24,179,4
5/15/2014,1,mastercard,143,299,14
8/15/2016,1,jcb,118,875,12
12/21/2010,4,instapayment,2,914,20
11/26/2024,2,jcb,134,744,14
6/14/2001,5,switch,29,585,7
6/8/2012,5,jcb,195,576,14
7/12/2014,4,jcb,32,438,4
9/13/2010,5,mastercard,153,58,11
4/16/2020,3,jcb,112,292,19
1/16/2016,3,visa-electron,54,939,12
11/12/2019,1,mastercard,199,661,16
2/8/2003,5,jcb,29,172,16
1/15/2003,5,diners-club-enroute,69,113,7
5/24/2004,4,jcb,171,88,7
6/27/2002,4,americanexpress,151,595,5
10/18/2021,5,americanexpress,111,553,20
4/19/2012,5,jcb,136,594,11
8/16/2001,3,china-unionpay,116,645,10
4/27/2022,5,jcb,117,440,15
10/12/2024,3,jcb,141,275,11
9/13/2002,5,jcb,71,550,12
11/13/2020,1,diners-club-enroute,172,960,2
5/28/2015,1,jcb,91,101,1
12/31/2017,1,jcb,46,814,7
9/25/2014,1,diners-club-carte-blanche,39,694,20
2/24/2023,4,visa-electron,141,684,20
9/24/2007,5,mastercard,130,464,4
5/5/2016,1,jcb,170,232,12
5/4/2004,2,jcb,157,498,8
8/3/2001,1,jcb,45,583,16
9/24/2021,4,jcb,44,983,11
10/24/2005,1,jcb,7,636,7
5/10/2005,5,jcb,18,974,17
4/11/2002,2,jcb,115,940,1
2/20/2017,4,diners-club-enroute,153,556,10
7/9/2002,3,bankcard,148,271,11
7/31/2018,2,diners-club-enroute,126,22,20
3/15/2016,2,jcb,140,812,13
1/14/2004,1,jcb,127,559,10
8/9/2019,5,laser,29,987,4
8/14/2010,1,china-unionpay,191,144,1
3/27/2009,4,mastercard,184,988,18
5/27/2019,3,mastercard,140,96,11
6/6/2011,1,visa-electron,195,790,17
2/20/2012,1,jcb,169,636,8
2/26/2003,3,jcb,52,129,20
6/13/2009,4,maestro,120,142,3
10/17/2005,1,jcb,121,104,20
6/3/2011,1,jcb,163,312,8
2/19/2016,4,solo,84,765,14
8/29/2023,1,jcb,22,215,15
12/28/2013,4,jcb,197,998,16
8/9/2017,4,solo,194,331,20
7/2/2016,2,china-unionpay,56,222,8
1/11/2015,3,jcb,149,206,13
11/17/2006,4,mastercard,195,17,6
2/29/2004,3,jcb,158,562,15
4/8/2021,3,laser,83,861,4
5/29/2008,4,diners-club-carte-blanche,112,851,6
6/3/2009,4,jcb,8,21,2
3/12/2021,4,solo,73,482,14
4/17/2023,1,jcb,165,454,13
10/1/2017,4,jcb,180,537,1
6/18/2001,3,jcb,156,810,1
9/14/2011,1,jcb,70,136,3
8/18/2021,3,mastercard,200,274,10
11/7/2020,4,diners-club-carte-blanche,90,834,13
9/26/2005,3,maestro,91,788,9
4/27/2019,4,china-unionpay,85,531,1
8/17/2003,4,laser,67,980,12
8/22/2005,3,americanexpress,55,499,4
6/15/2018,3,maestro,90,780,9
2/2/2006,3,jcb,191,327,7
2/7/2017,3,mastercard,49,918,3
11/26/2007,1,americanexpress,131,262,17
10/26/2009,4,jcb,158,503,8
4/26/2022,3,jcb,62,155,4
8/1/2023,2,switch,13,206,13
4/16/2003,2,jcb,5,957,18
9/22/2002,5,americanexpress,138,202,6
6/17/2006,1,jcb,82,479,4
3/1/2012,4,visa,103,542,17
5/5/2008,1,mastercard,114,974,11
3/10/2020,5,jcb,154,675,14
11/11/2017,2,bankcard,85,927,15
5/14/2016,4,switch,68,652,5
2/13/2012,3,jcb,195,993,10
10/10/2025,4,americanexpress,101,511,11
11/22/2017,5,visa,78,598,1
1/15/2020,5,jcb,33,611,9
1/18/2004,3,visa,136,850,15
6/10/2004,1,visa-electron,94,620,11
5/24/2020,2,jcb,182,955,4
3/9/2017,2,jcb,85,469,9
10/3/2015,1,diners-club-carte-blanche,23,678,20
6/12/2013,5,diners-club-us-ca,106,382,7
4/8/2022,3,jcb,39,416,15
1/9/2018,2,mastercard,77,575,15
9/10/2022,2,jcb,103,157,13
1/14/2012,1,jcb,178,582,20
11/13/2001,4,jcb,198,39,7
10/3/2007,1,bankcard,42,116,1
10/17/2005,5,switch,147,36,5
1/1/2024,3,americanexpress,146,836,15
7/3/2024,3,instapayment,70,149,11
9/7/2002,5,switch,80,203,1
10/12/2003,1,jcb,175,118,17
6/2/2022,5,switch,97,252,14
6/10/2025,3,jcb,55,482,18
9/7/2011,1,solo,156,716,10
1/31/2004,1,visa-electron,47,845,15
4/12/2002,1,bankcard,86,785,6
2/10/2024,4,jcb,129,784,12
11/29/2010,3,diners-club-carte-blanche,37,189,6
7/8/2024,5,jcb,162,88,13
7/6/2014,1,americanexpress,39,110,13
3/8/2008,5,jcb,133,604,2
10/5/2022,4,jcb,16,47,12
6/27/2003,4,mastercard,181,287,12
4/22/2003,3,jcb,102,455,3
6/20/2018,2,jcb,136,152,16
1/9/2007,5,jcb,124,10,7
9/5/2014,1,jcb,107,36,19
8/7/2006,2,diners-club-us-ca,64,74,13
4/23/2019,1,jcb,53,543,7
5/2/2014,4,jcb,21,491,13
4/9/2010,4,switch,147,855,7
11/11/2020,5,mastercard,157,116,1
9/24/2023,4,visa-electron,91,786,10
1/26/2019,4,jcb,1,334,19
9/29/2006,3,solo,161,853,19
2/25/2016,1,diners-club-us-ca,13,955,6
6/17/2023,3,jcb,96,615,10
2/27/2010,1,switch,135,160,1
3/29/2017,4,mastercard,91,84,18
9/28/2013,2,maestro,1,943,7
8/25/2020,1,jcb,74,40,8
7/11/2019,4,jcb,143,267,19
8/10/2001,5,maestro,71,370,19
9/3/2024,2,americanexpress,194,227,5
5/25/2013,1,maestro,74,175,14
5/25/2015,1,jcb,83,140,17
10/20/2011,4,solo,69,33,10
3/1/2004,3,diners-club-enroute,132,499,11
6/22/2018,2,diners-club-carte-blanche,144,663,15
8/3/2002,4,diners-club-carte-blanche,191,953,13
12/11/2008,5,jcb,131,494,13
2/18/2012,4,visa-electron,129,475,6
7/23/2005,2,maestro,85,558,18
6/17/2001,3,instapayment,118,782,8
5/26/2009,2,diners-club-enroute,38,337,3
3/10/2006,1,laser,97,348,15
6/23/2021,3,jcb,113,465,1
11/8/2012,5,diners-club-carte-blanche,75,939,6
11/9/2015,2,diners-club-enroute,90,731,16
1/24/2026,3,maestro,68,667,8
3/20/2022,4,jcb,25,409,10
8/16/2001,5,china-unionpay,28,245,5
8/19/2012,1,jcb,198,504,14
7/14/2025,3,laser,13,465,20
9/26/2012,2,visa-electron,154,474,11
6/9/2022,5,diners-club-enroute,9,649,19
1/6/2018,5,jcb,162,172,1
10/28/2001,3,americanexpress,173,55,2
10/7/2002,1,jcb,58,440,16
4/3/2026,1,jcb,120,738,18
2/3/2009,5,jcb,45,923,5
3/29/2020,4,jcb,95,705,1
11/14/2015,3,maestro,27,39,20
7/5/2022,1,visa,184,112,16
10/9/2013,3,americanexpress,118,93,4
3/21/2017,2,switch,97,553,12
7/14/2002,3,diners-club-carte-blanche,117,186,3
11/28/2024,2,bankcard,56,29,17
7/15/2011,1,switch,164,121,5
8/4/2005,3,mastercard,52,297,8
6/18/2023,4,jcb,148,188,10
10/4/2017,4,diners-club-carte-blanche,144,574,15
8/8/2012,3,mastercard,190,919,6
4/10/2020,4,americanexpress,70,428,6
12/18/2018,2,maestro,39,69,13
1/31/2010,4,jcb,54,819,16
3/6/2013,5,jcb,195,121,13
6/6/2009,1,diners-club-carte-blanche,9,633,8
5/5/2011,5,jcb,98,342,10
12/21/2001,4,jcb,33,613,3
8/9/2014,4,diners-club-us-ca,47,338,13
7/20/2010,5,bankcard,36,621,6
5/25/2006,1,jcb,198,476,7
9/16/2022,4,jcb,38,676,1
12/6/2022,4,maestro,67,880,20
12/6/2015,2,china-unionpay,16,507,19
2/21/2021,4,jcb,72,362,11
4/20/2014,4,laser,26,462,6
3/5/2013,2,jcb,155,511,15
1/17/2009,3,mastercard,21,123,2
8/1/2015,2,mastercard,45,611,4
7/11/2008,1,switch,111,298,18
9/19/2023,1,jcb,143,347,8
8/8/2007,1,jcb,174,42,4
6/16/2001,5,jcb,43,502,4
9/12/2009,5,jcb,13,522,8
8/1/2023,4,jcb,144,707,15
5/28/2020,1,switch,134,301,5
8/2/2019,3,switch,15,437,7
3/2/2008,5,instapayment,187,526,2
7/4/2001,5,diners-club-carte-blanche,130,533,18
11/1/2008,1,maestro,62,697,2
10/30/2005,1,jcb,136,386,4
11/15/2004,4,jcb,104,824,20
9/8/2011,1,americanexpress,199,260,5
10/11/2011,2,jcb,21,227,10
9/21/2007,3,visa,79,777,12
8/28/2017,1,china-unionpay,85,171,19
5/26/2018,2,maestro,102,184,13
11/20/2018,5,jcb,72,347,15
9/22/2023,1,jcb,171,481,5
2/22/2005,1,maestro,93,526,9
11/14/2018,1,jcb,52,999,1
9/2/2005,5,visa-electron,159,528,15
5/15/2021,5,visa-electron,51,434,6
1/12/2014,5,jcb,179,34,7
5/20/2006,1,laser,103,976,9
12/9/2025,3,jcb,11,461,8
6/10/2021,1,maestro,119,230,7
6/4/2002,4,switch,3,142,8
10/4/2014,2,china-unionpay,198,469,5
10/2/2005,4,jcb,66,501,17
12/19/2008,3,visa-electron,102,223,1
8/10/2023,2,jcb,173,377,14
7/8/2009,2,visa,113,38,7
10/28/2002,2,jcb,120,57,18
9/14/2012,2,jcb,94,357,10
12/23/2016,3,jcb,55,630,13
4/15/2006,2,jcb,139,439,17
8/18/2008,1,diners-club-carte-blanche,125,964,16
1/10/2003,3,diners-club-carte-blanche,161,464,1
12/23/2025,4,jcb,74,470,4
2/8/2015,1,bankcard,29,415,5
11/16/2016,5,jcb,121,875,15
12/29/2018,4,switch,127,367,7
9/18/2001,4,visa-electron,197,392,12
2/17/2023,1,maestro,48,546,13
3/25/2011,4,maestro,15,48,4
8/7/2017,4,china-unionpay,146,309,15
10/24/2007,2,jcb,76,874,10
10/14/2005,3,jcb,200,581,12
6/20/2003,5,china-unionpay,79,519,6
12/11/2006,2,switch,72,602,16
11/21/2022,3,bankcard,198,136,13
6/30/2014,2,visa,137,763,13
5/16/2024,1,maestro,164,243,20
1/21/2019,4,jcb,158,497,16
11/15/2023,1,diners-club-enroute,81,476,13
10/11/2006,2,maestro,150,516,17
8/4/2020,3,visa-electron,109,286,20
5/6/2018,3,jcb,108,66,16
11/9/2015,4,jcb,1,660,18
6/7/2018,1,visa,144,26,8
1/12/2017,4,visa,132,394,9
3/25/2025,2,jcb,195,366,5
7/13/2012,2,jcb,120,157,10
1/19/2019,2,mastercard,29,850,10
10/17/2007,3,jcb,125,334,5
5/10/2011,3,americanexpress,119,9,15
4/3/2005,4,laser,110,697,14
9/2/2025,3,diners-club-enroute,101,952,9
10/6/2011,2,maestro,126,532,7
5/28/2013,2,bankcard,38,32,7
5/18/2013,3,jcb,43,705,8
11/13/2023,5,jcb,38,106,12
9/14/2012,5,jcb,142,126,20
2/27/2022,2,maestro,119,649,18
4/27/2020,5,jcb,155,60,3
11/16/2009,3,mastercard,40,77,1
6/21/2003,5,jcb,96,636,19
3/18/2007,2,visa-electron,162,39,20
1/24/2007,4,mastercard,11,814,10
10/25/2016,1,jcb,191,481,15
7/4/2013,4,bankcard,146,297,7
12/13/2008,2,jcb,176,579,10
6/15/2019,3,jcb,118,104,17
9/28/2008,4,diners-club-international,186,415,5
5/7/2017,4,jcb,131,586,2
5/16/2013,2,jcb,96,91,7
11/29/2024,3,jcb,152,882,2
8/13/2001,2,mastercard,156,981,15
5/26/2012,3,visa-electron,151,397,5
8/24/2024,2,jcb,108,645,20
4/20/2025,3,mastercard,154,386,10
3/26/2017,2,jcb,81,985,2
9/16/2015,2,diners-club-carte-blanche,28,878,19
10/14/2022,3,jcb,173,29,14
7/9/2009,1,diners-club-enroute,182,99,5
10/12/2023,1,maestro,48,313,16
10/12/2016,4,diners-club-carte-blanche,79,506,13
10/26/2019,2,diners-club-enroute,185,858,11
4/4/2006,1,jcb,27,59,16
10/14/2003,5,jcb,118,514,10
12/25/2018,1,maestro,81,431,9
7/7/2025,1,laser,95,737,1
4/22/2016,4,mastercard,96,246,18
7/27/2016,5,visa-electron,170,480,7
6/20/2003,4,visa,89,904,7
12/8/2024,3,diners-club-carte-blanche,166,879,7
8/17/2007,2,jcb,152,135,15
3/10/2014,4,maestro,119,128,19
7/28/2025,3,jcb,140,426,3
8/16/2020,5,jcb,166,786,16
10/13/2016,4,visa-electron,73,578,1
7/20/2023,1,diners-club-carte-blanche,159,712,19
8/23/2022,1,jcb,190,373,18
6/4/2008,1,jcb,93,438,17
10/9/2012,1,jcb,50,794,15
11/2/2005,3,jcb,48,831,19
10/5/2014,1,jcb,5,309,3
5/9/2017,3,maestro,191,970,16
12/17/2024,1,jcb,4,319,4
6/7/2015,3,jcb,70,257,18
5/25/2003,4,jcb,4,501,15
6/14/2016,2,bankcard,169,66,12
5/17/2005,1,jcb,52,313,2
6/3/2017,5,mastercard,100,30,16
2/25/2007,1,jcb,130,508,11
5/23/2003,1,china-unionpay,196,251,1
10/20/2004,2,china-unionpay,28,697,12
2/12/2022,1,switch,67,164,19
3/17/2007,3,bankcard,24,238,20
10/18/2013,5,mastercard,20,318,4
12/13/2011,5,jcb,35,585,16
4/25/2008,2,jcb,74,888,2
5/3/2003,1,instapayment,189,839,12
2/11/2021,2,jcb,43,488,1
8/4/2020,1,diners-club-carte-blanche,195,307,7
5/25/2024,5,visa-electron,30,259,2
11/14/2007,2,americanexpress,148,748,18
1/20/2003,1,jcb,148,155,3
9/30/2018,2,mastercard,181,176,15
2/7/2003,3,mastercard,199,995,10
3/2/2026,4,china-unionpay,66,82,15
5/5/2003,4,instapayment,33,175,5
6/1/2008,2,instapayment,33,23,10
7/17/2006,5,mastercard,97,883,9
12/26/2023,4,jcb,14,381,4
8/16/2010,1,jcb,106,513,11
10/26/2002,2,jcb,183,60,16
7/4/2005,3,bankcard,127,36,9
4/16/2021,3,diners-club-enroute,190,146,13
11/19/2023,4,americanexpress,152,97,5
7/9/2017,1,jcb,73,576,5
9/11/2019,1,jcb,133,625,18
9/2/2023,2,jcb,136,539,18
2/23/2017,4,diners-club-carte-blanche,32,12,18
10/29/2019,4,laser,188,600,4
10/21/2025,5,jcb,124,851,1
8/27/2015,2,jcb,195,126,2
4/26/2019,5,jcb,152,718,14
3/19/2026,1,diners-club-carte-blanche,186,438,7
9/8/2006,4,jcb,113,119,11
12/31/2009,4,jcb,19,222,3
4/22/2011,3,bankcard,118,596,14
2/19/2015,2,maestro,13,324,20
4/26/2008,4,visa-electron,96,624,14
8/20/2020,2,diners-club-us-ca,75,682,5
8/17/2002,5,jcb,173,770,13
12/28/2018,2,mastercard,79,866,3
1/8/2005,3,jcb,164,747,12
4/22/2002,5,china-unionpay,170,117,14
10/8/2025,5,china-unionpay,54,524,6
2/1/2007,1,americanexpress,172,977,13
5/27/2012,5,maestro,129,814,2
1/24/2004,5,mastercard,163,309,8
4/1/2025,5,switch,91,250,11
4/13/2002,3,switch,141,293,5
2/11/2009,3,diners-club-enroute,84,70,9
12/10/2007,3,diners-club-carte-blanche,83,514,2
10/31/2019,4,maestro,167,948,16
3/4/2020,2,jcb,65,596,9
6/21/2004,3,jcb,64,167,19
5/16/2009,5,bankcard,141,339,19
9/8/2005,3,solo,191,451,15
6/23/2018,5,maestro,111,42,16
2/3/2007,2,americanexpress,105,878,7
8/15/2001,4,maestro,104,303,8
5/24/2021,5,mastercard,145,961,5
12/3/2015,3,visa-electron,124,814,14
6/28/2009,1,diners-club-international,59,612,4
11/1/2022,5,mastercard,160,939,9
9/11/2018,1,bankcard,31,26,7
3/2/2017,4,jcb,48,270,14
1/5/2022,3,mastercard,5,230,5
2/24/2018,5,jcb,133,529,15
4/26/2024,1,visa-electron,8,156,9
4/23/2024,3,switch,81,363,6
9/25/2016,5,jcb,18,688,17
12/8/2004,2,diners-club-carte-blanche,95,900,15
5/11/2021,1,bankcard,88,491,5
1/7/2021,5,jcb,64,156,17
3/5/2009,5,diners-club-carte-blanche,192,620,12
7/18/2011,2,jcb,195,556,13
9/14/2013,4,china-unionpay,40,176,16
4/13/2024,3,bankcard,174,418,20
9/15/2019,2,jcb,96,258,6
8/13/2010,1,jcb,24,976,9
5/17/2012,5,jcb,150,865,1
3/28/2010,3,visa,24,635,2
11/29/2018,5,jcb,139,392,6
5/20/2008,3,visa-electron,33,73,2
8/19/2021,1,jcb,4,983,4
4/3/2021,2,jcb,8,194,8
8/14/2023,1,diners-club-enroute,160,615,9
7/11/2019,5,maestro,92,383,12
9/9/2019,3,instapayment,110,277,11
3/15/2021,2,laser,110,502,16
6/16/2016,4,china-unionpay,186,658,18
4/5/2023,5,switch,157,484,5
10/6/2005,3,mastercard,46,195,17
2/7/2004,2,jcb,118,551,18
1/15/2007,2,diners-club-carte-blanche,161,785,20
1/4/2013,2,instapayment,153,140,3
3/22/2002,4,bankcard,136,982,3
10/16/2025,2,china-unionpay,114,967,18
3/14/2012,4,jcb,140,821,2
4/12/2010,5,laser,90,984,15
8/3/2007,1,diners-club-carte-blanche,147,993,4
12/23/2014,5,visa,148,74,12
9/9/2002,1,switch,93,268,1
1/11/2022,3,americanexpress,121,338,9
8/8/2012,3,laser,30,111,4
11/22/2009,4,switch,172,739,12
8/1/2013,5,mastercard,61,875,4
5/4/2015,3,jcb,108,255,20
3/31/2025,4,jcb,44,153,7
6/30/2025,1,jcb,131,403,6
10/25/2008,1,jcb,195,617,1
4/23/2016,4,diners-club-carte-blanche,2,328,17
11/8/2004,1,jcb,186,702,19
12/6/2007,5,diners-club-carte-blanche,42,206,16
6/5/2013,5,jcb,25,876,15
2/19/2011,4,mastercard,109,875,19
8/16/2001,1,visa,153,326,8
11/27/2019,4,jcb,145,279,16
2/21/2015,2,jcb,122,137,1
2/7/2002,1,jcb,143,977,4
6/3/2015,4,jcb,42,168,17
11/9/2018,4,jcb,26,978,14
1/8/2012,5,mastercard,103,447,3
8/18/2019,2,mastercard,89,447,5
3/25/2005,1,jcb,122,490,8
9/2/2015,2,jcb,115,102,19
12/29/2023,2,jcb,53,407,19
8/1/2013,1,switch,60,421,14
3/26/2015,4,jcb,22,600,9
9/24/2007,3,jcb,64,427,7
10/26/2009,3,maestro,182,814,1
1/30/2019,4,switch,23,1000,15
4/25/2022,3,americanexpress,152,137,13
7/9/2010,5,jcb,15,143,1
3/30/2019,4,jcb,36,865,5
1/11/2019,1,jcb,25,259,16
3/12/2021,4,maestro,120,350,9
2/26/2014,3,jcb,160,321,19
2/5/2020,3,diners-club-international,156,922,16
3/6/2020,1,diners-club-carte-blanche,121,761,8
9/4/2021,4,maestro,42,465,2
4/29/2010,5,diners-club-carte-blanche,129,292,12
10/1/2013,4,jcb,98,677,17
6/2/2007,2,jcb,94,497,16
4/20/2019,5,jcb,154,782,16
3/3/2009,4,jcb,40,287,20
11/7/2007,5,maestro,11,905,5
5/4/2005,1,switch,8,868,8
2/15/2002,4,jcb,132,857,16
1/23/2022,2,jcb,110,43,5
1/26/2021,1,diners-club-carte-blanche,171,872,13
6/7/2003,2,visa,70,871,15
3/27/2024,3,jcb,30,760,6
9/18/2019,3,switch,186,231,7
7/15/2016,4,jcb,62,260,9
5/3/2024,1,switch,97,24,9
7/23/2008,4,laser,179,936,4
2/18/2012,3,china-unionpay,13,188,19
10/5/2018,1,jcb,119,154,1
3/27/2026,3,mastercard,15,492,12
12/26/2018,4,jcb,54,280,11
5/30/2002,2,visa,140,365,9
8/11/2011,4,mastercard,153,196,11
4/1/2008,3,jcb,75,479,20
3/11/2013,1,mastercard,41,156,6
1/17/2008,3,diners-club-carte-blanche,10,130,13
12/24/2013,3,jcb,190,446,15
11/12/2013,4,instapayment,64,140,9
7/23/2002,2,jcb,197,242,19
6/1/2025,2,visa-electron,5,569,18
8/25/2021,1,diners-club-carte-blanche,122,587,4
3/19/2019,1,laser,108,453,10
5/6/2010,2,jcb,33,868,8
10/24/2020,1,jcb,200,487,6
12/13/2020,3,jcb,154,416,20
5/8/2021,3,mastercard,96,288,12
6/7/2007,2,bankcard,11,140,1
7/22/2015,1,mastercard,6,866,6
10/7/2025,4,switch,158,431,12
7/15/2007,4,jcb,25,161,6
4/14/2004,1,jcb,200,837,3
7/9/2020,2,bankcard,87,131,13
3/23/2011,3,bankcard,139,472,8
2/12/2013,4,switch,121,707,16
10/25/2021,5,china-unionpay,118,294,19
12/27/2014,5,jcb,140,49,10
10/26/2015,3,visa-electron,45,817,16
2/12/2003,3,bankcard,23,853,5
6/24/2001,3,switch,13,427,17
5/3/2021,2,solo,35,486,1
2/6/2015,2,jcb,25,381,2
4/20/2020,2,laser,16,968,15
1/15/2004,1,china-unionpay,161,132,16
5/4/2022,4,instapayment,193,921,17
7/22/2022,1,mastercard,177,935,13
12/30/2001,2,jcb,74,623,8
9/11/2011,2,jcb,148,235,5
9/16/2025,5,china-unionpay,6,177,9
1/3/2012,2,visa,157,872,15
5/15/2002,4,switch,141,861,13
7/19/2009,5,bankcard,178,805,1
12/9/2023,5,diners-club-us-ca,18,943,8
3/22/2015,5,diners-club-international,26,918,2
3/25/2021,4,jcb,93,322,19
3/20/2005,3,jcb,185,458,19
5/29/2003,4,jcb,171,232,19
5/11/2018,1,jcb,130,209,18
1/4/2011,3,jcb,93,311,9
4/20/2024,1,visa-electron,193,6,8
4/7/2026,3,mastercard,110,239,16
2/4/2026,5,visa-electron,183,111,5
5/18/2021,4,laser,109,401,4
4/14/2012,5,diners-club-enroute,32,233,12
1/21/2014,4,jcb,175,258,3
10/10/2020,2,visa,95,924,6
4/4/2006,2,jcb,14,515,10
11/2/2018,3,jcb,177,479,14
10/23/2019,5,visa-electron,178,692,1
5/11/2002,3,mastercard,128,799,10
12/28/2004,5,mastercard,141,832,14
10/16/2013,3,mastercard,51,27,8
10/7/2002,2,china-unionpay,74,12,19
2/22/2007,3,switch,25,204,19
2/16/2006,3,jcb,102,328,20
7/24/2020,3,jcb,73,765,16
5/17/2024,4,visa,88,947,7
8/14/2013,3,maestro,181,120,14
3/22/2015,3,jcb,4,34,3
10/15/2015,3,laser,178,224,14
2/20/2006,1,jcb,53,104,10
4/6/2002,5,jcb,78,773,18
9/30/2021,4,jcb,168,776,2
11/6/2023,2,mastercard,179,472,2
4/1/2019,1,jcb,33,99,13
12/25/2005,4,jcb,92,336,17
8/31/2019,3,instapayment,108,619,12
7/21/2013,1,mastercard,37,123,11
12/28/2003,5,visa,93,79,5
2/9/2012,2,jcb,25,557,4
5/3/2014,2,jcb,165,261,16
7/6/2004,5,laser,79,798,17
5/14/2001,3,mastercard,69,876,5
11/23/2004,5,diners-club-us-ca,144,571,14
4/22/2015,3,switch,169,392,16
6/12/2011,1,jcb,14,721,1
6/24/2025,4,maestro,94,24,7
5/19/2012,5,jcb,147,588,19
12/21/2001,2,mastercard,116,950,17
8/25/2025,4,laser,200,979,9
6/27/2010,3,diners-club-carte-blanche,52,386,6
3/9/2008,1,jcb,141,708,4
12/16/2001,5,switch,184,482,7
6/3/2012,2,instapayment,175,704,6
